,Unnamed: 0,harvest_date,id,lat,lng,pdf,planted_date,tillage,year
0,0.0,HARVESTED: 10/01/2017 ,67968.0,35.2885769804782,-86.2140941619873,67968.pdf,PLANTED: 04/14/2017 ,TILLAGE: No-Till,2017.0
1,1.0,HARVESTED: 09/30/2017 ,67971.0,35.2463901541786,-87.0930862426758,67971.pdf,PLANTED: 04/25/2017 ,TILLAGE: No-Till,2017.0
2,2.0,HARVESTED: 10/28/2017 ,67946.0,42.0786677699027,-95.5743598937988,67946.pdf,"PLANTED: 04/23/2017

HARVESTED: 10/28/2017 SOIL TEXTURE:

",TILLAGE: Field Cultivation,2017.0
3,3.0,HARVESTED: 10/30/2017 ,71032.0,40.6149187595085,-88.5392576221607,71032.pdf,PLANTED: 04/24/2017 ,TILLAGE: Strip-Till,2017.0
4,4.0,HARVESTED: 12/04/2017 ,68073.0,38.8133623315428,-83.5778903961182,68073.pdf,PLANTED: 04/26/2017 ,TILLAGE: No-Till,2017.0
5,5.0,HARVESTED: 12/04/2017 ,68074.0,38.8277397725682,-83.5837268829346,68074.pdf,PLANTED: 04/26/2017 ,TILLAGE: No-Till,2017.0
6,6.0,HARVESTED: 11/03/2017 ,71528.0,44.533349596313,-94.5170974731445,71528.pdf,PLANTED: 05/14/2017 ,TILLAGE: Conv.-Till,2017.0
7,7.0,HARVESTED: 10/24/2017 ,71550.0,44.934964775222,-95.024174451828,71550.pdf,PLANTED: 05/10/2017 ,TILLAGE: Conv.-Till,2017.0
8,8.0,HARVESTED: 10/12/2017 ,68458.0,42.6963918372297,-94.1801052489837,68458.pdf,PLANTED: 04/17/2017 ,TILLAGE: Field Cultivation,2017.0
9,9.0,HARVESTED: 10/09/2017 ,70665.0,39.7222766381082,-95.1780453300474,70665.pdf,PLANTED: 04/16/2017 ,TILLAGE: No-Till,2017.0
10,10.0,HARVESTED: 10/29/2017 ,71030.0,41.9648990569288,-95.0421237945557,71030.pdf,PLANTED: 04/19/2017 ,TILLAGE: No-Till,2017.0
11,11.0,HARVESTED: 11/10/2017 ,68182.0,39.8775343979509,-82.6054286956787,68182.pdf,PLANTED: 04/27/2017 ,TILLAGE: Field Cultivation,2017.0
12,12.0,HARVESTED: 10/02/2017 ,70770.0,39.9364151476781,-89.2689173341305,70770.pdf,PLANTED: 05/16/2017 ,TILLAGE: Chisel,2017.0
13,13.0,HARVESTED: 10/29/2017 ,68512.0,43.4560965134527,-92.5529050827026,68512.pdf,PLANTED: 05/05/2017 ,TILLAGE: Moldboard / Field Cultivation,2017.0
14,14.0,HARVESTED: 09/23/2017 ,68083.0,38.0393994691245,-88.256691,68083.pdf,PLANTED: 04/14/2017 ,TILLAGE: Chisel / Field Cultivation,2017.0
15,15.0,HARVESTED: 10/30/2017 ,68531.0,42.8997196880856,-93.4780526161194,68531.pdf,PLANTED: 05/05/2017 ,TILLAGE: Field Cultivation / Conv.-Till,2017.0
16,16.0,HARVESTED: 10/01/2017 ,71024.0,43.8150828183754,-82.8088474273682,71024.pdf,PLANTED: 05/15/2017 ,TILLAGE: \V-Rip / Field Cultivation,2017.0
17,17.0,HARVESTED: 11/01/2017 ,71437.0,42.761617757644,-92.3653650283813,71437.pdf,PLANTED: 05/08/2017 ,TILLAGE: Strip-Till,2017.0
18,18.0,HARVESTED: 10/30/2017 ,68749.0,42.6149175102225,-91.9814872741699,68749.pdf,PLANTED: 05/08/2017 ,TILLAGE: Field Cultivation,2017.0
19,19.0,HARVESTED: 10/26/2017 ,69416.0,39.6984039461675,-89.482741355896,69416.pdf,PLANTED: 06/08/2017 ,TILLAGE: Field Cultivation,2017.0
20,20.0,HARVESTED: 10/18/2017 ,68213.0,42.4027348878231,-89.4760894775391,68213.pdf,PLANTED: 04/22/2017 ,TILLAGE: Field Cultivation,2017.0
21,21.0,HARVESTED: 09/27/2017 ,67984.0,40.4694289350286,-89.5790004730225,67984.pdf,PLANTED: 04/25/2017 ,TILLAGE: Vertical-Till,2017.0
22,22.0,HARVESTED: 10/16/2017 ,68068.0,40.4850033369063,-90.7920551486101,68068.pdf,PLANTED: 04/25/2017 ,TILLAGE: Strip-Till,2017.0
23,23.0,HARVESTED: 10/01/2017 ,71424.0,40.8695214009096,-93.319673538208,71424.pdf,PLANTED: 04/24/2017 ,TILLAGE: V-Rip / Field Cultivation,2017.0
24,24.0,"HARVESTED: 09/15/2017
ROW WIDTH: 30.0 inches

POPULATION: 31,300

",57908.0,38.7316567992693,-87.8984355926514,57908.pdf,"PLANTED: 04/11/2017

HARVESTED: 09/15/2017
ROW WIDTH: 30.0 inches

",TILLAGE: Field Cultivation,2017.0
25,25.0,HARVESTED: 09/08/2017 ,70442.0,37.2209653314306,-96.0494327545166,70442.pdf,PLANTED: 04/15/2017 ,TILLAGE: Vertical-Till,2017.0
26,26.0,HARVESTED: 10/01/2017 ,68504.0,40.9734180518456,-91.534309387207,68504.pdf,"PLANTED: 05/15/2017

",TILLAGE: Conv.-Till,2017.0
27,27.0,HARVESTED: 11/06/2017 ,68832.0,40.1765724317822,-89.9982403321426,68832.pdf,PLANTED: 05/08/2017 ,TILLAGE: Conv.-Till,2017.0
28,28.0,HARVESTED: 10/30/2017 ,67953.0,40.2177328521,-90.0104777220679,67953.pdf,PLANTED: 04/24/2017 ,TILLAGE: Conv.-Till,2017.0
29,29.0,HARVESTED: 11/01/2017 ,68221.0,42.0204140326165,-92.5089168548584,68221.pdf,PLANTED: 05/07/2017 ,TILLAGE: Strip-Till / Vertical-Till,2017.0
30,30.0,HARVESTED: 11/29/2017 ,68550.0,41.574856248806,-84.768546071037,68550.pdf,PLANTED: 06/02/2017 ,TILLAGE: Chisel / Field Cultivation,2017.0
31,31.0,HARVESTED: 11/14/2017 ,71554.0,42.0732047695247,-85.3708183765411,71554.pdf,PLANTED: 05/18/2017 ,TILLAGE: Chisel / Field Cultivation,2017.0
32,32.0,HARVESTED: 10/26/2017 ,69402.0,39.2759939334774,-89.4922149181366,69402.pdf,PLANTED: 04/25/2017 ,TILLAGE: Field Cultivation,2017.0
33,33.0,HARVESTED: 10/01/2017 ,67993.0,41.3435668279974,-93.9625453948975,67993.pdf,PLANTED: 04/24/2017 ,TILLAGE: Field Cultivation,2017.0
34,34.0,HARVESTED: 10/10/2017 ,68110.0,40.215652352492,-84.0312480926514,68110.pdf,PLANTED: 04/19/2017 ,TILLAGE: Field Cultivation,2017.0
35,35.0,HARVESTED: 09/25/2017 ,68038.0,38.7127059596248,-87.6166534423828,68038.pdf,PLANTED: 04/14/2017 ,TILLAGE: Chisel / Field Cultivation,2017.0
36,36.0,HARVESTED: 11/01/2017 ,68472.0,43.2852970642763,-92.9665768146515,68472.pdf,PLANTED: 05/14/2017 ,TILLAGE: V-Rip / Field Cultivation,2017.0
37,37.0,HARVESTED: 11/06/2017 ,71395.0,42.5827254289936,-96.5786969444269,71395.pdf,PLANTED: 05/13/2017 ,TILLAGE: No-Till,2017.0
